day,section,8-9,9-10,10-11,11-12,12-1,1-2,2-3,3-4,4-5,5-6
saturday,CSE-21,X,X,X,OOPJ,DBMS,OS,X,X,OS(L),OS(L)
monday,CSE-22,COA,OOPJ(L),OOPJ(L),OS,DBMS,DSS,X,X,X,X
tuesday,CSE-22,DSS,DBMS,OS,COA,STW,OOPJ,X,X,X,X
wednesday,CSE-22,DSS,OS,OOPJ,DBMS,STW,COA,X,X,X,X
thursday,CSE-22,X,VT(L),VT(L),X,X,X,OS(L),OS(L),DSS,COA
friday,CSE-22,X,X,X,X,X,X,X,X,X,X
saturday,CSE-22,X,DBMS(L),DBMS(L),OOPJ,X,X,X,X,X,X
monday,CSE-23,X,X,X,DSS,DBMS,COA,X,OS,DBMS(L),DBMS(L)
tuesday,CSE-23,X,X,X,OOPJ,DSS,OS,X,DBMS,COA,STW
wednesday,CSE-23,X,X,X,DBMS,OS(L),OS(L),X,STW,OOPJ,COA
thursday,CSE-23,X,X,X,OS,COA,DSS,X,OOPJ,STW,X
friday,CSE-23,X,VT(L),VT(L),X,X,X,OOPJ(L),OOPJ(L),DSS,X
saturday,CSE-23,X,X,X,X,X,X,X,X,X,X
monday,CSE-24,X,X,X,X,X,X,X,X,X,X
tuesday,CSE-24,OS,DBMS,DSS,COA,DBMS(L),DBMS(L),X,X,X,X
wednesday,CSE-24,COA,OS,OOPJ,DSS,OS(L),OS(L),X,X,X,X
thursday,CSE-24,COA,STW,DSS,X,VT(L),VT(L),X,X,X,X
friday,CSE-24,OS,STW,COA,DSS,DBMS,OOPJ,X,X,X,X
saturday,CSE-24,X,X,DBMS,X,X,X,OOPJ(L),OOPJ(L),OOPJ,X
monday,CSE-25,COA,STW,DSS,X,X,X,OS(L),OS(L),OOPJ,X
tuesday,CSE-25,X,X,X,STW,OS,COA,X,OOPJ,DSS,X
wednesday,CSE-25,X,X,X,DBMS,OS,OOPJ,X,X,VT(L),VT(L)
thursday,CSE-25,X,X,X,DSS,COA,DBMS,X,OS,OOPJ(L),OOPJ(L)
friday,CSE-25,X,X,X,STW,DBMS(L),DBMS(L),X,DSS,COA,DBMS
saturday,CSE-25,X,X,X,X,X,X,X,X,X,X
monday,CSE-26,DSS,OS,DBMS,X,VT(L),VT(L),X,X,X,X
tuesday,CSE-26,DSS,COA,STW,X,X,X,DBMS(L),DBMS(L),DBMS,X
wednesday,CSE-26,X,DBMS,COA,OS,OOPJ,X,X,X,X,X
thursday,CSE-26,OOPJ,OS,DSS,COA,OS(L),OS(L),X,X,X,X
friday,CSE-26,OOPJ,OOPJ(L),OOPJ(L),DSS,COA,STW,X,X,X,X
saturday,CSE-26,X,X,X,X,X,X,X,X,X,X
monday,CSE-27,X,X,X,COA,DSS,STW,X,X,VT(L),VT(L)
tuesday,CSE-27,X,X,X,COA,STW,OOPJ,X,OS,DSS,DBMS
wednesday,CSE-27,DBMS,OOPJ,OS,X,X,X,DBMS(L),DBMS(L),DSS,X
thursday,CSE-27,X,X,X,X,X,X,X,X,X,X
friday,CSE-27,X,X,X,DSS,STW,OS,X,COA,OS(L),OS(L)
saturday,CSE-27,X,X,X,X,OOPJ,COA,X,DBMS,OOPJ(L),OOPJ(L)
monday,CSE-28,DSS,DBMS(L),DBMS(L),STW,COA,DBMS,X,X,X,X
tuesday,CSE-28,DBMS,COA,DSS,X,VT(L),VT(L),X,X,X,X
wednesday,CSE-28,COA,OS,OOPJ,DSS,STW,X,X,X,X,X
thursday,CSE-28,DSS,OS,COA,X,X,X,OS(L),OS(L),OOPJ,X
friday,CSE-28,X,X,X,X,X,X,X,X,X,X
saturday,CSE-28,OS,OOPJ(L),OOPJ(L),DBMS,OOPJ,X,X,X,X,X
monday,CSE-29,X,X,X,DSS,DBMS(L),DBMS(L),X,STW,DBMS,COA
tuesday,CSE-29,X,X,X,COA,OS,OOPJ,X,X,VT(L),VT(L)
wednesday,CSE-29,X,X,X,COA,OS(L),OS(L),X,STW,OS,DSS
thursday,CSE-29,X,X,X,DBMS,OS,STW,X,OOPJ,DSS,X
friday,CSE-29,DSS,COA,DBMS,X,X,X,OOPJ(L),OOPJ(L),OOPJ,X
saturday,CSE-29,X,X,X,X,X,X,X,X,X,X
monday,CSE-30,X,X,X,X,X,X,X,X,X,X
tuesday,CSE-30,DSS,DBMS(L),DBMS(L),DBMS,OOPJ,OS,X,X,X,X
wednesday,CSE-30,DSS,COA,STW,X,VT(L),VT(L),X,X,X,X
thursday,CSE-30,COA,OS(L),OS(L),DSS,STW,DBMS,X,X,X,X
friday,CSE-30,OS,OOPJ(L),OOPJ(L),COA,OOPJ,DSS,X,X,X,X
saturday,CSE-30,DBMS,OOPJ,COA,X,X,X,OS,X,X,X
